bid,name,pattern,subPattern,expected,got,delta,deltaAbs
4609224,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NEURO-CLOUD-9 ~ Yoru ~ (Marathon)],ln,speed,13,12.80,0.20,0.20
4609232,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [R U Still xxxx 1.15x ~ Yokaze ~ (Marathon)],ln,speed,16,16.40,-0.40,0.40
4351661,Laur - Kokushi musou [World's Final End (17th edit)],ln,Unsigned,17,16.60,0.40,0.40
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,17.20,-0.20,0.20
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,17.00,0.00,0.00
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,14.40,0.10,0.10
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,14.00,0.00,0.00
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,14.80,0.00,0.00
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,13.40,0.20,0.20
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,14.60,-0.20,0.20
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,13.80,0.00,0.00
4398536,Various Artists - Begin's 4K LN Pack Level 3 [Nanahoshi Kangengakudan - Andromeda],ln,density,15.2,14.60,0.60,0.60
4398537,Various Artists - Begin's 4K LN Pack Level 3 [ROKINA - Icicle Stinger],ln,density,15.4,15.00,0.40,0.40
2808346,Dark Sambaland[Easy](mizuki) x1.05,jack,anchor chordjack,14.6,14.20,0.40,0.40
3580764,Dark Sambaland[Easy](mizuki) x1.2,jack,anchor chordjack,16.4,15.60,0.80,0.80
3245370,Martial Arts(xingren),jack,anchor chordjack,10.5,9.60,0.90,0.90
3245369,Martial Arts(xingren) x1.05,jack,anchor chordjack,11,11.20,-0.20,0.20
3245376,Martial Arts(xingren) x1.3,jack,anchor chordjack,14.6,14.60,0.00,0.00
3245375,Martial Arts(xingren) x1.35,jack,anchor chordjack,15,14.80,0.20,0.20
3245377,Martial Arts(xingren) x1.4,jack,anchor chordjack,15.4,15.40,0.00,0.00
3887441,Echo(ice v) x1.1,jack,anchor chordjack,14.5,14.40,0.10,0.10
4485050,Deep Down(shibeplanet) x0.95,jack,anchor chordjack,12.4,12.00,0.40,0.40
4496828,Deep Down(shibeplanet),jack,anchor chordjack,13.4,13.00,0.40,0.40
4485051,Deep Down(shibeplanet) x1.05,jack,anchor chordjack,13.8,13.80,0.00,0.00
3918921,Deep Down(shibeplanet) x1.1,jack,anchor chordjack,14.4,14.40,0.00,0.00
4485052,Deep Down(shibeplanet) x1.15,jack,anchor chordjack,15,14.60,0.40,0.40
3918922,Deep Down(shibeplanet) x1.2,jack,anchor chordjack,15.4,15.00,0.40,0.40
4485053,Deep Down(shibeplanet) x1.25,jack,anchor chordjack,16,15.40,0.60,0.60
1347529,Precious You(frolica) x1.1,jack,anchor chordjack,11,10.40,0.60,0.60
1347530,Precious You(frolica) x1.2,jack,anchor chordjack,12.8,12.40,0.40,0.40
1347531,Precious You(frolica) x1.3,jack,anchor chordjack,14,13.60,0.40,0.40
3875257,Zillion Lights(rachel),jack,anchor chordjack,13.8,13.40,0.40,0.40
3875255,Zillion Lights(rachel) x1.1,jack,anchor chordjack,14.5,14.60,-0.10,0.10
3875256,Zillion Lights(rachel) x1.2,jack,anchor chordjack,15.5,15.80,-0.30,0.30
1612787,Far in the blue sky[42](1nar) x0.9,jack,anchor chordjack,13,12.00,1.00,1.00
2793588,Far in the blue sky[42](1nar) x0.95,jack,anchor chordjack,13.8,13.00,0.80,0.80
2793593,Far in the blue sky[42](1nar),jack,anchor chordjack,14.4,13.80,0.60,0.60
2793589,Far in the blue sky[42](2nar) x1.05,jack,anchor chordjack,14.7,14.40,0.30,0.30
2793590,Far in the blue sky[42](2nar) x1.1,jack,anchor chordjack,15.4,14.80,0.60,0.60
2793591,Far in the blue sky[42](2nar) x1.15,jack,anchor chordjack,15.7,15.40,0.30,0.30
2793592,Far in the blue sky[42](2nar) x1.2,jack,anchor chordjack,16,16.00,0.00,0.00
2295003,Daichi ni Saku Senritsu(rachel) x1.1,jack,anchor chordjack,12,11.80,0.20,0.20
2295004,Daichi ni Saku Senritsu(rachel) x1.2,jack,anchor chordjack,13.6,13.40,0.20,0.20
2295005,Daichi ni Saku Senritsu(rachel) x1.3,jack,anchor chordjack,14.4,14.40,0.00,0.00
2295006,Daichi ni Saku Senritsu(rachel) x1.4,jack,anchor chordjack,15.4,15.20,0.20,0.20
3442422,PAM!!!(mongol) x1.1,jack,dense chordjack,13.4,13.00,0.40,0.40
3442423,PAM!!!(mongol) x1.2,jack,dense chordjack,14.6,14.40,0.20,0.20
3442424,PAM!!!(mongol) x1.3,jack,dense chordjack,15,15.00,0.00,0.00
3442426,PAM!!!(mongol),jack,dense chordjack,12,11.20,0.80,0.80
3442425,PAM!!!(mongol) x1.4,jack,dense chordjack,16.2,16.00,0.20,0.20
4405082,Onyx Veil(ltd),jack,dense chordjack,14.5,13.80,0.70,0.70
4405077,Onyx Veil(ltd) x1.1,jack,dense chordjack,15.4,14.80,0.60,0.60
3749286,KING(ade maine) x0.95,jack,dense chordjack,14.6,14.60,0.00,0.00
3749289,KING(ade maine),jack,dense chordjack,15.4,15.20,0.20,0.20
3749288,KING(ade maine) x1.05,jack,dense chordjack,16,15.80,0.20,0.20
3110936,Sendan Life(opakyl) x1.2,jack,dense chordjack,15,14.60,0.40,0.40
1889333,CG901B[impossible](rachel) x0.9,jack,dense chordjack,11,9.40,1.60,1.60
1889340,CG902B[impossible](rachel),jack,dense chordjack,13.2,12.00,1.20,1.20
1889336,CG903B[impossible](rachel) x1.1,jack,dense chordjack,14,13.80,0.20,0.20
1889338,CG904B[impossible](rachel) x1.2,jack,dense chordjack,15,14.80,0.20,0.20
2808366,Tsuki Ai Tsuki Yo(zino) x1.1,jack,dense chordjack,14.6,14.60,0.00,0.00
3321433,Exile(rachel),jack,dense chordjack,14.6,14.60,0.00,0.00
3321436,Mutwa(rachel),jack,dense chordjack,16,16.00,0.00,0.00
3249972,Why We Lose(ena) x1.3,jack,dense chordjack,12,11.00,1.00,1.00
3249973,Why We Lose(ena) x1.4,jack,dense chordjack,13.4,12.40,1.00,1.00
2690149,Lemon Tree(lemmie),jack,dense chordjack,14,12.60,1.40,1.40
3663002,STRONG 280(isxi) x1.25,jack,dense chordjack,16.4,16.20,0.20,0.20
2827581,ch3rry(my angel koishi) x1.4,stamina,dense handstream,14,14.00,0.00,0.00
2486099,Sorairo Days(icyworld) x1.5,stamina,dense handstream,14,13.40,0.60,0.60
5195214,ANOMALY(lynessa) x1.31,stamina,dense handstream,14,13.60,0.40,0.40
3123873,FUTURE DOMINATORS(icyworld),stamina,dense handstream,9,8.00,1.00,1.00
3123869,FUTURE DOMINATORS(icyworld) x1.1,stamina,dense handstream,11,10.60,0.40,0.40
3123870,FUTURE DOMINATORS(icyworld) x1.2,stamina,dense handstream,13.2,12.20,1.00,1.00
3123871,FUTURE DOMINATORS(icyworld) x1.3,stamina,dense handstream,14,13.40,0.60,0.60
3123872,FUTURE DOMINATORS(icyworld) x1.4,stamina,dense handstream,14.6,14.40,0.20,0.20
5430558,Cartoon Candy(lynessa) x1.05,stamina,dense handstream,14,13.60,0.40,0.40
4681531,Cartoon Candy(lynessa) x1.2,stamina,dense handstream,15.2,15.00,0.20,0.20
3593323,Blackmagik Blazing(teradora),stamina,dense handstream,14,13.40,0.60,0.60
3928951,Ragnarok(lynessa) x1.07,stamina,dense handstream,13.4,12.40,1.00,1.00
4421699,H.A.R.D.C.O.R.E(dannypx),stamina,dense handstream,12.8,11.20,1.60,1.60
1644635,Zenon(halogen) x1.5,stamina,dense handstream,14,13.60,0.40,0.40
3681222,CRIMSON FIGHTER[Armageddon](oxalicacid) x0.9,stamina,dense handstream,11.8,10.80,1.00,1.00
2168030,SILENT DESERT(teradora),stamina,dense handstream,14.4,13.80,0.60,0.60
3755311,SILENT DESERT(e9v2) x1.2,stamina,dense handstream,16.4,16.20,0.20,0.20
3588134,Nibelungen(lynessa) x1.1,stamina,dense handstream,13,11.80,1.20,1.20
3535954,Heavens Fall(teradora),stamina,dense handstream,9,7.80,1.20,1.20
3535945,Heavens Fall(teradora) x1.05,stamina,dense handstream,9.5,9.00,0.50,0.50
3535947,Heavens Fall(teradora) x1.1,stamina,dense handstream,10.5,9.60,0.90,0.90
3535946,Heavens Fall(teradora) x1.15,stamina,dense handstream,11.4,11.00,0.40,0.40
3535949,Heavens Fall(teradora) x1.2,stamina,dense handstream,12.5,11.80,0.70,0.70
3535948,Heavens Fall(teradora) x1.25,stamina,dense handstream,13,12.40,0.60,0.60
3535950,Heavens Fall(teradora) x1.35,stamina,dense handstream,14,13.40,0.60,0.60
3535952,Heavens Fall(teradora) x1.45,stamina,dense handstream,14.7,14.40,0.30,0.30
4133253,Love is War(night bunny) x1.15,stamina,dense handstream,12.4,12.00,0.40,0.40
5407219,Love is War(night bunny) x1.33,stamina,dense handstream,14,14.20,-0.20,0.20
4632845,Dimension War(oceanus),stamina,dense handstream,15.4,14.60,0.80,0.80
4758417,KOKUSHIMUSOU(oceanus) x0.95,stamina,dense handstream,15.4,15.20,0.20,0.20
4758412,KOKUSHIMUSOU(oceanus),stamina,dense handstream,16,15.80,0.20,0.20
1753421,Quadraphinix(xay) x1.3,stamina,dense handstream,12.4,11.40,1.00,1.00
1753422,Quadraphinix(xay) x1.4,stamina,dense handstream,13.5,12.60,0.90,0.90
5120065,MEGALOMANIA(omni),stamina,dense handstream,14,13.20,0.80,0.80
2110279,MEGALOMANIA(rachel),stamina,dense handstream,14,13.00,1.00,1.00
3850572,Perfect Cherry Storm(teradora) x1.45,stamina,dense handstream,14.6,14.60,0.00,0.00
4786209,Inner Universe(teradora) x1.885,stamina,dense handstream,16.6,16.00,0.60,0.60
5370949,Inner Universe(teradora) x1.755,stamina,dense handstream,15.4,15.00,0.40,0.40
1304131,Chaoz Airflow(icyworld) x1.2,stamina,dense handstream,10.4,9.00,1.40,1.40
4476886,Bluenation(xingyue) x1.2,stamina,dense handstream,11,9.60,1.40,1.40
4476891,Bluenation(xingyue) x1.4,stamina,dense handstream,13.6,12.60,1.00,1.00
4476908,Bluenation(xingyue) x1.45,stamina,dense handstream,14,13.00,1.00,1.00
3850571,STRONG 280(sp7v2),stamina,dense handstream,14.6,14.40,0.20,0.20
2292214,Serment(xingyue) x1.3,stamina,dense handstream,13.7,13.00,0.70,0.70
473228,FREEDOM DIVE(DIMENSIONS),stamina,dense jumpstream,10,10.00,0.00,0.00
3157010,Fragment(my angel koish) x1.4,stamina,dense jumpstream,13,12.20,0.80,0.80
1453293,Burst Linker(wafles) x1.3,stamina,dense jumpstream,12.6,11.80,0.80,0.80
5195395,Burst Linker(wafles) x1.47,stamina,dense jumpstream,14,14.00,0.00,0.00
1938168,Cyber Inductance(icyworld) x1.3,stamina,dense jumpstream,12,11.40,0.60,0.60
4589562,Cyber Inductance(icyworld) x1.47,stamina,dense jumpstream,14,13.60,0.40,0.40
2196122,Cyber Inductance(icyworld) x1.7,stamina,dense jumpstream,15.4,15.00,0.40,0.40
4310620,Cyber Inductance(icyworld) x1.525,stamina,dense jumpstream,14.4,14.00,0.40,0.40
1699290,Pacific Girls(icyworld) x1.5,stamina,dense jumpstream,15,14.40,0.60,0.60
3854148,Over the Fullereneshift(fullerene) x1.4,stamina,dense jumpstream,13.8,13.20,0.60,0.60
1425975,Japanese Transformation(fullerene) x1.2,stamina,dense jumpstream,14.5,14.40,0.10,0.10
787944,The Empress(underjoy) x1.05,stamina,dense jumpstream,14,13.80,0.20,0.20
2701198,Time to Say Goodbye(halogen) x1.15,stamina,dense jumpstream,14,13.80,0.20,0.20
2701200,Time to Say Goodbye(halogen) x1.2,stamina,dense jumpstream,14.4,14.20,0.20,0.20
2633097,Sakazuki(Rachel),jack,high chordjack,12.8,12.20,0.60,0.60
4597208,Sakazuki(Rachel) x1.05,jack,high chordjack,13.4,13.00,0.40,0.40
3630235,Sakazuki(Rachel) x1.1,jack,high chordjack,14,14.00,0.00,0.00
3630234,Sakazuki(Rachel) x0.9,jack,high chordjack,11.8,9.60,2.20,2.20
3630236,Sakazuki(Rachel) x1.2,jack,high chordjack,14.8,14.80,0.00,0.00
3630237,Sakazuki(Rachel) x1.3,jack,high chordjack,16,15.80,0.20,0.20
3663000,Sakazuki(Rachel) x1.35,jack,high chordjack,16.5,16.00,0.50,0.50
3521930,Hiasobi(focogamer) x1.1,jack,high chordjack,12.8,12.40,0.40,0.40
3521932,Hiasobi(focogamer) x1.2,jack,high chordjack,14,13.80,0.20,0.20
3928116,Joker(Rachel),jack,high chordjack,15.4,14.80,0.60,0.60
3887322,Dark Sambaland x1.2,jack,high chordjack,13.8,13.60,0.20,0.20
1705687,Flower Dance(hievery) x1.3,jack,high chordjack,10.6,9.40,1.20,1.20
1705688,Flower Dance(hievery) x1.4,jack,high chordjack,12,11.20,0.80,0.80
2121684,Hitogata(ice v),jack,high chordjack,13.6,13.40,0.20,0.20
2727203,Hitogata(ice v) x1.05,jack,high chordjack,14.4,14.20,0.20,0.20
4387971,Hitogata(ice v) x1.15,jack,high chordjack,15,15.00,0.00,0.00
3479384,I Love It(lynessa),jack,high chordjack,10.5,10.80,-0.30,0.30
3479388,I Love It(lynessa) x1.2,jack,high chordjack,14,14.20,-0.20,0.20
2808358,I Love It(lynessa) x1.3,jack,high chordjack,15,14.80,0.20,0.20
4584948,Dat Phonk(smokydoh),jack,high chordjack,13.6,13.60,0.00,0.00
4584946,Dat Phonk(smokydoh) x0.9,jack,high chordjack,12.4,12.00,0.40,0.40
4072972,Dat Phonk(smokydoh) x1.1,jack,high chordjack,14.8,14.60,0.20,0.20
4072973,Dat Phonk(smokydoh) x1.15,jack,high chordjack,15.1,15.00,0.10,0.10
3841896,MURDER IN MY MIND x1.2,jack,high chordjack,13,12.20,0.80,0.80
2802345,Hari no Sora(xingyue) x1.2,jack,high chordjack,13.6,12.80,0.80,0.80
5430570,Hari no Sora(xingyue) x1.27,jack,high chordjack,14,13.80,0.20,0.20
3545958,Unmeiron(ena),jack,high chordjack,14.9,14.40,0.50,0.50
3545959,Unmeiron(ena) x0.95,jack,high chordjack,14.6,14.00,0.60,0.60
2818882,Hustler(xingyue),jack,high chordjack,12.8,12.20,0.60,0.60
3986998,Hustler(xingyue) x1.05,jack,high chordjack,13.4,13.00,0.40,0.40
3987000,Hustler(xingyue) x1.15,jack,high chordjack,14.6,14.20,0.40,0.40
3986995,Hustler(xingyue) x1.2,jack,high chordjack,15,14.60,0.40,0.40
3986999,Hustler(xingyue) x1.25,jack,high chordjack,15.4,14.80,0.60,0.60
3986997,Hustler(xingyue) x1.3,jack,high chordjack,16,15.20,0.80,0.80
3509184,Seen(ena),jack,high chordjack,13.4,12.60,0.80,0.80
3509180,Seen(ena) x1.05,jack,high chordjack,14,13.60,0.40,0.40
3509181,Seen(ena) x1.15,jack,high chordjack,15,14.60,0.40,0.40
3509183,Seen(ena) x1.2,jack,high chordjack,15.6,14.80,0.80,0.80
3662982,Seen(ena) x1.25,jack,high chordjack,16,15.20,0.80,0.80
3576374,Can't Give it Up(jhown),jack,high chordjack,13,12.20,0.80,0.80
3576378,Can't Give it Up(jhown) x1.2,jack,high chordjack,15,14.60,0.40,0.40
2357903,Triumphal Return(doudou0310) x1.2,jack,high chordjack,13.7,14.00,-0.30,0.30
2357902,Triumphal Return(doudou0310) x1.25,jack,high chordjack,14.4,14.40,0.00,0.00
2357904,Triumphal Return(doudou0310) x1.3,jack,high chordjack,14.8,14.80,0.00,0.00
3526591,Triumphal Return(doudou0310) x1.4,jack,high chordjack,15.6,15.60,0.00,0.00
3182551,Dusk(mintapril),jack,high chordjack,8,8.20,-0.20,0.20
3182552,Dusk(mintapril) x1.1,jack,high chordjack,11,10.80,0.20,0.20
3182553,Dusk(mintapril) x1.2,jack,high chordjack,12.6,12.20,0.40,0.40
3182554,Dusk(mintapril) x1.3,jack,high chordjack,13.6,13.40,0.20,0.20
4633597,Darling Dance(rachel),jack,high chordjack,14,14.00,0.00,0.00
4633595,Darling Dance(rachel) x1.1,jack,high chordjack,15,14.80,0.20,0.20
4633594,Darling Dance(rachel) x1.15,jack,high chordjack,15.4,15.20,0.20,0.20
4633596,Darling Dance(rachel) x1.2,jack,high chordjack,16.4,15.80,0.60,0.60
4622294,KEEP IT UP(ltd) x1.4,jack,high chordjack,16.6,16.40,0.20,0.20
2808334,Deconstruction Star(xuecai),jack,high chordjack,13.6,13.80,-0.20,0.20
3412538,Deconstruction Star(xuecai) x1.15,jack,high chordjack,15.6,15.00,0.60,0.60
4637635,YoiYoi Kokon(lynessa) x1.05,jack,high chordjack,13.6,12.60,1.00,1.00
4408173,GOODTEK(signicial),jack,high chordjack,15.2,14.40,0.80,0.80
2716033,The Light(blue potion),jack,high chordjack,13.6,13.60,0.00,0.00
2963655,The Light(blue potion) x1.1,jack,high chordjack,15.8,14.60,1.20,1.20
4103082,Idol(laoxiao),jack,high chordjack,14,13.60,0.40,0.40
3687776,Flowering(ena),jack,high chordjack,14,12.60,1.40,1.40
3687774,Flowering(ena) x1.1,jack,high chordjack,14.5,14.20,0.30,0.30
3687775,Flowering(ena) x1.2,jack,high chordjack,16,14.80,1.20,1.20
4383327,Observation(jhown) x0.8,jack,high chordjack,14,13.40,0.60,0.60
4383328,Observation(jhown) x0.85,jack,high chordjack,14.6,14.20,0.40,0.40
4383329,Observation(jhown) x0.9,jack,high chordjack,15.4,14.60,0.80,0.80
4383330,Observation(jhown) x0.95,jack,high chordjack,16,15.00,1.00,1.00
4383325,Observation(jhown),jack,high chordjack,16.4,15.60,0.80,0.80
4794368,Rengetsu Outa(jhown),jack,high chordjack,14,12.40,1.60,1.60
4794371,Rengetsu Outa(jhown) x1.05,jack,high chordjack,14.4,13.20,1.20,1.20
4010382,Please(hikarnayo),jack,high chordjack,14.4,14.20,0.20,0.20
3321435,Lost One no Goukoku(rachel),jack,high chordjack,15,14.60,0.40,0.40
4387962,Break It(ice v),jack,high chordjack,15,14.40,0.60,0.60
1066057,Break(loved),jack,high chordjack,11,11.20,-0.20,0.20
3065264,Break(loved) x1.2,jack,high chordjack,14.4,14.20,0.20,0.20
3065265,Break(loved) x1.3,jack,high chordjack,15,15.00,0.00,0.00
3095005,Break(loved) x1.4,jack,high chordjack,16,15.80,0.20,0.20
3816043,Bookmaker(rachel),jack,high chordjack,14.3,13.60,0.70,0.70
2862626,Bookmaker(rachel) x1.05,jack,high chordjack,14.6,14.40,0.20,0.20
2289290,Anhedonia[38](8230),jack,high chordjack,15.2,14.80,0.40,0.40
3125227,Anhedonia[38](8230) x0.95,jack,high chordjack,14.7,14.40,0.30,0.30
3125228,Anhedonia[38](8230) x1.05,jack,high chordjack,15.6,15.20,0.40,0.40
2497871,Sky is the Limit(aeyeong),jack,high chordjack,13,12.40,0.60,0.60
1990238,Sky is the Limit(aeyeong) x1.1,jack,high chordjack,14.5,14.00,0.50,0.50
4487955,OdoRobo(jinkill) x1.1,jack,high chordjack,14.1,13.40,0.70,0.70
3476974,Don't let you down(rg8v3),jack,high chordjack,7.9,7.40,0.50,0.50
3476968,Kikai Shoujo Gensou(rg9v3),jack,high chordjack,8.5,9.00,-0.50,0.50
3824604,Hifumi Daisuki[Hard](Magikarp1234),jack,high chordjack,13.6,12.20,1.40,1.40
4010826,Re Aoharu(magikarp),jack,high chordjack,4.8,3.60,1.20,1.20
4388484,hurricanic(stupud man),speed,high stream,14,13.60,0.40,0.40
3171267,hurricanic(stupud man) x1.05,speed,high stream,14.4,14.20,0.20,0.20
4388482,hurricanic(stupud man) x1.1,speed,high stream,15,14.40,0.60,0.60
4388481,hurricanic(stupud man) x1.15,speed,high stream,15.4,14.80,0.60,0.60
4388483,hurricanic(stupud man) x1.2,speed,high stream,16,15.00,1.00,1.00
3358944,Volcanic(attang) x0.8,speed,high stream,11,8.00,3.00,3.00
3358945,Volcanic(attang) x0.9,speed,high stream,12.5,11.60,0.90,0.90
2808935,Volcanic(attang) x1.05,speed,high stream,14.4,13.80,0.60,0.60
3358946,Volcanic(attang) x1.1,speed,high stream,15,14.40,0.60,0.60
2965239,Volcanic(attang) x1.15,speed,high stream,15.4,14.40,1.00,1.00
3358947,Volcanic(attang) x1.2,speed,high stream,16,15.00,1.00,1.00
3321837,Yozakura(ska) x0.9,speed,high stream,13.6,12.20,1.40,1.40
3321838,Yozakura(ska) x0.95,speed,high stream,14,13.20,0.80,0.80
3321840,Yozakura(ska),speed,high stream,14.3,13.80,0.50,0.50
3321839,Yozakura(ska) x1.05,speed,high stream,14.6,14.20,0.40,0.40
1455991,Moon Gate x1.2,speed,high stream,14.6,14.00,0.60,0.60
5255749,Moon Gate x1.25,speed,high stream,15,14.60,0.40,0.40
5195385,Blue Noah 2006[Lv.28](attang) 0.95,speed,high stream,14,13.40,0.60,0.60
1496206,Blue Noah 2006[Lv.28](attang),speed,high stream,14.6,13.60,1.00,1.00
1644632,Blue Noah 2006[Lv.28](attang) x1.1,speed,high stream,15.4,14.60,0.80,0.80
1990237,Angel Dust(tachyon) x1.1,speed,high stream,14.4,13.80,0.60,0.60
3294543,Misery(signicial) x1.1,speed,high stream,14,14.20,-0.20,0.20
3294542,Misery(signicial) x1.15,speed,high stream,14.6,14.60,0.00,0.00
3294546,Misery(signicial) x1.2,speed,high stream,15,14.80,0.20,0.20
3294544,Misery(signicial) x1.25,speed,high stream,15.4,15.20,0.20,0.20
3294549,Misery(signicial) x1.3,speed,high stream,16,15.60,0.40,0.40
3294547,Misery(signicial) x1.35,speed,high stream,16.4,15.80,0.60,0.60
2875457,Angel's Salad(penguinosity),tech,jack tech,11,10.20,0.80,0.80
2860220,Forgotten[Collab(2015)],tech,jack tech,11,9.80,1.20,1.20
2860210,Forgotten[Collab(2015)] x1.05,tech,jack tech,12,11.40,0.60,0.60
2860212,Forgotten[Collab(2015)] x1.1,tech,jack tech,12.4,12.00,0.40,0.40
3755586,Odoru Mizushibuki x1.2,tech,jack tech,12.6,12.20,0.40,0.40
3755587,Odoru Mizushibuki x1.3,tech,jack tech,13.6,13.60,0.00,0.00
3755588,Odoru Mizushibuki x1.4,tech,jack tech,14.6,14.40,0.20,0.20
3168876,Odoru Mizushibuki x1.43,tech,jack tech,15,14.60,0.40,0.40
3824635,Usagi Flap[Tech](Magikarp1234),tech,jack tech,10.5,8.40,2.10,2.10
4606873,Still Into You(ska) x1.16,tech,jack tech,13.4,13.00,0.40,0.40
3322182,BLUE ARMY[UNFORGIVING ASSAULT],stamina,light handstream,13.4,12.60,0.80,0.80
4610329,BLUE ARMY[UNFORGIVING ASSAULT] x1.06,stamina,light handstream,13.8,13.40,0.40,0.40
3645838,The Empress(underjoy) x1.1,stamina,light handstream,14.6,14.20,0.40,0.40
3645837,The Empress(underjoy) x1.15,stamina,light handstream,15,14.80,0.20,0.20
5194163,Firmament Castle Velier x1.3,stamina,light handstream,14,13.00,1.00,1.00
4589591,Speed of Link[Tachyon](shoegazer) 1.23,stamina,light jumpstream,14,13.80,0.20,0.20
3348224,FAKE PROMISE(shoegazer) x1.4,stamina,light jumpstream,12.8,12.20,0.60,0.60
2972845,Gekka Bijin(hylotl),stamina,light jumpstream,14.4,14.00,0.40,0.40
2567896,The Fate of(blessia),stamina,light jumpstream,14,13.80,0.20,0.20
1887431,Aquaris(snover) x1.2,jack,low chordjack,13,12.00,1.00,1.00
1426702,Double Universe(hydria),jack,low chordjack,14,13.60,0.40,0.40
3476969,Koi Kou Enishi(rg3v3),jack,low chordjack,3.6,3.20,0.40,0.40
3476970,Umiyuri Kaiteitan(rg4v3),jack,low chordjack,4.1,3.60,0.50,0.50
3476971,Platinum Disco(rg5v3),jack,low chordjack,5,4.40,0.60,0.60
3476972,Chocolate Disco(rg6v3),jack,low chordjack,5.8,4.40,1.40,1.40
3928690,Reflec Streamz(gamma) x1.15,speed,low stream,14.6,14.60,0.00,0.00
3251778,Lalala.Refrain[HD](snowph),speed,low stream,13.8,14.00,-0.20,0.20
3251776,Lalala.Refrain[HD](snowph) x1.1,speed,low stream,14.6,14.80,-0.20,0.20
3989159,Luminous Memory(super10killer),speed,low stream,14,14.00,0.00,0.00
3989154,Luminous Memory(super11killer) x0.9,speed,low stream,13.4,12.40,1.00,1.00
5430556,Gloom(jesen) x1.25,jack,mid chordjack,13.9,13.20,0.70,0.70
1779696,Gloom(jesen) x1.3,jack,mid chordjack,14.4,14.00,0.40,0.40
3211370,The Truth Never Spoken(rachel) x1.05,jack,mid chordjack,13.4,12.40,1.00,1.00
3260898,The Truth Never Spoken(rachel) x1.1,jack,mid chordjack,13.8,13.00,0.80,0.80
2308947,Vertex Beta(spz cut) x0.9,jack,mid chordjack,14.6,13.60,1.00,1.00
3321440,Valkyrie Revolutia(rachel),jack,mid chordjack,16.4,15.20,1.20,1.20
4704824,M-A[impossible jack](wllk2) x0.85,jack,mid chordjack,13.9,13.20,0.70,0.70
5561111,manual of youth(tsumikiyuzu) x1.3,jack,mid chordjack,14,13.80,0.20,0.20
3476973,Don't Stop The Music(rg7v3),jack,mid chordjack,6.7,5.60,1.10,1.10
4262736,oddloop(teradora),speed,mid stream,12.2,11.60,0.60,0.60
4670616,Toromi Hearts 2(rachel),speed,mid stream,14.6,14.20,0.40,0.40
3163355,Palette(rachel) x1.2,speed,mid stream,14.6,14.40,0.20,0.20
1631150,Green-Eyed Jealousy[True End](rachel),speed,mid stream,14.6,14.60,0.00,0.00
3824601,GGF(magikarp),speed,mid stream,10.9,9.40,1.50,1.50
4432306,Hyper Bass(11bit) x1.35,tech,mix tech,15,15.00,0.00,0.00
4237589,KOKUSHIMUSOU(nate) x1.15,tech,mix tech,14.6,14.60,0.00,0.00
4432307,Looking for Edge of Ground(evening) x1.15,tech,mix tech,14.6,14.40,0.20,0.20
2162156,We Could Get More Machinegun Psystyle!(hydria),tech,mix tech,13.5,13.00,0.50,0.50
3853701,We Could Get More Machinegun Psystyle!(hydria) x1.05,tech,mix tech,14,13.80,0.20,0.20
5195211,K.Y.A.F.A[UNSTOPPABLE DOMINATION](evening) x1.227,tech,mix tech,14,14.00,0.00,0.00
1699242,Trickstarz[STEPMANIA](hi19hi19) x1.3,speed,staircase,15,14.20,0.80,0.80
3755273,Green-Eyed Jealousy(e9v2),speed,staircase,17.6,17.40,0.20,0.20
1158910,Shadows of Cats(wafles) x1.0,tech,stream tech,12.2,9.80,2.40,2.40
5195273,Shadows of Cats(wafles) x1.25,tech,stream tech,14,14.00,0.00,0.00
4776927,Weird Autumn(emik) x1.2,tech,stream tech,14,13.80,0.20,0.20
4776929,Weird Autumn(emik) x1.3,tech,stream tech,14.6,14.60,0.00,0.00
3053763,oddloop(ska),tech,stream tech,11.6,10.60,1.00,1.00
3942033,oddloop(ska) x1.3,tech,stream tech,15,14.60,0.40,0.40
1712332,northern_limit(underjoy),tech,stream tech,15.6,14.80,0.80,0.80
3494225,Kimiyo[Agapimenoi](frolica),tech,stream tech,14.2,13.40,0.80,0.80
3494228,Kimiyo[Eirini](frolica),tech,stream tech,13.6,13.20,0.40,0.40
2981901,Acquaintance(skwid),tech,stream tech,10,9.60,0.40,0.40
2981895,Acquaintance(skwid) x1.05,tech,stream tech,11,11.00,0.00,0.00
2981897,Acquaintance(skwid) x1.1,tech,stream tech,12,11.80,0.20,0.20
2981896,Acquaintance(skwid) x1.15,tech,stream tech,13,12.40,0.60,0.60
