bid,name,pattern,subPattern,expected,got,delta,deltaAbs
4609225,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NUCLEAR-STAR ~ Yume ~ (Marathon)],ln,speed,15,14.40,0.60,0.60
4609224,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NEURO-CLOUD-9 ~ Yoru ~ (Marathon)],ln,speed,13,12.80,0.20,0.20
4609232,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [R U Still xxxx 1.15x ~ Yokaze ~ (Marathon)],ln,speed,16,16.40,-0.40,0.40
4351661,Laur - Kokushi musou [World's Final End (17th edit)],ln,Unsigned,17,16.60,0.40,0.40
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,15.16,1.84,1.84
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,14.82,2.18,2.18
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,14.40,0.10,0.10
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,14.00,0.00,0.00
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,14.80,0.00,0.00
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,13.40,0.20,0.20
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,14.60,-0.20,0.20
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,13.80,0.00,0.00
4398536,Various Artists - Begin's 4K LN Pack Level 3 [Nanahoshi Kangengakudan - Andromeda],ln,density,15.2,14.60,0.60,0.60
4398537,Various Artists - Begin's 4K LN Pack Level 3 [ROKINA - Icicle Stinger],ln,density,15.4,15.00,0.40,0.40
2808346,Dark Sambaland[Easy](mizuki) x1.05,jack,anchor chordjack,14.6,14.65,-0.05,0.05
3580764,Dark Sambaland[Easy](mizuki) x1.2,jack,anchor chordjack,16.4,16.03,0.37,0.37
3245370,Martial Arts(xingren),jack,anchor chordjack,10.5,10.81,-0.31,0.31
3245369,Martial Arts(xingren) x1.05,jack,anchor chordjack,11,11.37,-0.37,0.37
3245376,Martial Arts(xingren) x1.3,jack,anchor chordjack,14.6,14.37,0.23,0.23
3245375,Martial Arts(xingren) x1.35,jack,anchor chordjack,15,15.00,0.00,0.00
3245377,Martial Arts(xingren) x1.4,jack,anchor chordjack,15.4,15.50,-0.10,0.10
3887441,Echo(ice v) x1.1,jack,anchor chordjack,14.5,14.64,-0.14,0.14
4485050,Deep Down(shibeplanet) x0.95,jack,anchor chordjack,12.4,12.56,-0.16,0.16
4496828,Deep Down(shibeplanet),jack,anchor chordjack,13.4,13.36,0.04,0.04
4485051,Deep Down(shibeplanet) x1.05,jack,anchor chordjack,13.8,13.63,0.17,0.17
3918921,Deep Down(shibeplanet) x1.1,jack,anchor chordjack,14.4,14.37,0.03,0.03
4485052,Deep Down(shibeplanet) x1.15,jack,anchor chordjack,15,14.66,0.34,0.34
3918922,Deep Down(shibeplanet) x1.2,jack,anchor chordjack,15.4,15.44,-0.04,0.04
4485053,Deep Down(shibeplanet) x1.25,jack,anchor chordjack,16,15.84,0.16,0.16
1347529,Precious You(frolica) x1.1,jack,anchor chordjack,11,11.41,-0.41,0.41
1347530,Precious You(frolica) x1.2,jack,anchor chordjack,12.8,12.89,-0.09,0.09
1347531,Precious You(frolica) x1.3,jack,anchor chordjack,14,13.83,0.17,0.17
3875257,Zillion Lights(rachel),jack,anchor chordjack,13.8,13.72,0.08,0.08
3875255,Zillion Lights(rachel) x1.1,jack,anchor chordjack,14.5,14.69,-0.19,0.19
3875256,Zillion Lights(rachel) x1.2,jack,anchor chordjack,15.5,15.86,-0.36,0.36
1612787,Far in the blue sky[42](1nar) x0.9,jack,anchor chordjack,13,13.04,-0.04,0.04
2793588,Far in the blue sky[42](1nar) x0.95,jack,anchor chordjack,13.8,13.89,-0.09,0.09
2793593,Far in the blue sky[42](1nar),jack,anchor chordjack,14.4,14.38,0.02,0.02
2793589,Far in the blue sky[42](2nar) x1.05,jack,anchor chordjack,14.7,14.94,-0.24,0.24
2793590,Far in the blue sky[42](2nar) x1.1,jack,anchor chordjack,15.4,15.42,-0.02,0.02
2793591,Far in the blue sky[42](2nar) x1.15,jack,anchor chordjack,15.7,15.99,-0.29,0.29
2793592,Far in the blue sky[42](2nar) x1.2,jack,anchor chordjack,16,16.46,-0.46,0.46
2295003,Daichi ni Saku Senritsu(rachel) x1.1,jack,anchor chordjack,12,12.90,-0.90,0.90
2295004,Daichi ni Saku Senritsu(rachel) x1.2,jack,anchor chordjack,13.6,13.91,-0.31,0.31
2295005,Daichi ni Saku Senritsu(rachel) x1.3,jack,anchor chordjack,14.4,14.80,-0.40,0.40
2295006,Daichi ni Saku Senritsu(rachel) x1.4,jack,anchor chordjack,15.4,15.69,-0.29,0.29
3442422,PAM!!!(mongol) x1.1,jack,dense chordjack,13.4,13.73,-0.33,0.33
3442423,PAM!!!(mongol) x1.2,jack,dense chordjack,14.6,14.65,-0.05,0.05
3442424,PAM!!!(mongol) x1.3,jack,dense chordjack,15,15.57,-0.57,0.57
3442426,PAM!!!(mongol),jack,dense chordjack,12,12.22,-0.22,0.22
3442425,PAM!!!(mongol) x1.4,jack,dense chordjack,16.2,16.27,-0.07,0.07
4405082,Onyx Veil(ltd),jack,dense chordjack,14.5,14.07,0.43,0.43
4405077,Onyx Veil(ltd) x1.1,jack,dense chordjack,15.4,15.37,0.03,0.03
3749286,KING(ade maine) x0.95,jack,dense chordjack,14.6,14.79,-0.19,0.19
3749289,KING(ade maine),jack,dense chordjack,15.4,15.58,-0.18,0.18
3749288,KING(ade maine) x1.05,jack,dense chordjack,16,16.05,-0.05,0.05
3110936,Sendan Life(opakyl) x1.2,jack,dense chordjack,15,15.13,-0.13,0.13
1889333,CG901B[impossible](rachel) x0.9,jack,dense chordjack,11,11.15,-0.15,0.15
1889340,CG902B[impossible](rachel),jack,dense chordjack,13.2,12.89,0.31,0.31
1889336,CG903B[impossible](rachel) x1.1,jack,dense chordjack,14,14.02,-0.02,0.02
1889338,CG904B[impossible](rachel) x1.2,jack,dense chordjack,15,15.17,-0.17,0.17
2808366,Tsuki Ai Tsuki Yo(zino) x1.1,jack,dense chordjack,14.6,14.86,-0.26,0.26
3321433,Exile(rachel),jack,dense chordjack,14.6,15.00,-0.40,0.40
3321436,Mutwa(rachel),jack,dense chordjack,16,16.02,-0.02,0.02
3249972,Why We Lose(ena) x1.3,jack,dense chordjack,12,11.91,0.09,0.09
3249973,Why We Lose(ena) x1.4,jack,dense chordjack,13.4,12.85,0.55,0.55
2690149,Lemon Tree(lemmie),jack,dense chordjack,14,13.46,0.54,0.54
3663002,STRONG 280(isxi) x1.25,jack,dense chordjack,16.4,16.31,0.09,0.09
2827581,ch3rry(my angel koishi) x1.4,stamina,dense handstream,14,14.52,-0.52,0.52
2486099,Sorairo Days(icyworld) x1.5,stamina,dense handstream,14,13.97,0.03,0.03
5195214,ANOMALY(lynessa) x1.31,stamina,dense handstream,14,13.92,0.08,0.08
3123873,FUTURE DOMINATORS(icyworld),stamina,dense handstream,9,9.61,-0.61,0.61
3123869,FUTURE DOMINATORS(icyworld) x1.1,stamina,dense handstream,11,11.32,-0.32,0.32
3123870,FUTURE DOMINATORS(icyworld) x1.2,stamina,dense handstream,13.2,13.07,0.13,0.13
3123871,FUTURE DOMINATORS(icyworld) x1.3,stamina,dense handstream,14,14.15,-0.15,0.15
3123872,FUTURE DOMINATORS(icyworld) x1.4,stamina,dense handstream,14.6,14.92,-0.32,0.32
5430558,Cartoon Candy(lynessa) x1.05,stamina,dense handstream,14,14.00,0.00,0.00
4681531,Cartoon Candy(lynessa) x1.2,stamina,dense handstream,15.2,15.55,-0.35,0.35
3593323,Blackmagik Blazing(teradora),stamina,dense handstream,14,14.07,-0.07,0.07
3928951,Ragnarok(lynessa) x1.07,stamina,dense handstream,13.4,13.29,0.11,0.11
4421699,H.A.R.D.C.O.R.E(dannypx),stamina,dense handstream,12.8,11.55,1.25,1.25
1644635,Zenon(halogen) x1.5,stamina,dense handstream,14,14.16,-0.16,0.16
3681222,CRIMSON FIGHTER[Armageddon](oxalicacid) x0.9,stamina,dense handstream,11.8,11.56,0.24,0.24
2168030,SILENT DESERT(teradora),stamina,dense handstream,14.4,14.10,0.30,0.30
3755311,SILENT DESERT(e9v2) x1.2,stamina,dense handstream,16.4,16.43,-0.03,0.03
3588134,Nibelungen(lynessa) x1.1,stamina,dense handstream,13,13.08,-0.08,0.08
3535954,Heavens Fall(teradora),stamina,dense handstream,9,9.18,-0.18,0.18
3535945,Heavens Fall(teradora) x1.05,stamina,dense handstream,9.5,9.53,-0.03,0.03
3535947,Heavens Fall(teradora) x1.1,stamina,dense handstream,10.5,11.04,-0.54,0.54
3535946,Heavens Fall(teradora) x1.15,stamina,dense handstream,11.4,11.23,0.17,0.17
3535949,Heavens Fall(teradora) x1.2,stamina,dense handstream,12.5,12.17,0.33,0.33
3535948,Heavens Fall(teradora) x1.25,stamina,dense handstream,13,13.00,0.00,0.00
3535950,Heavens Fall(teradora) x1.35,stamina,dense handstream,14,14.05,-0.05,0.05
3535952,Heavens Fall(teradora) x1.45,stamina,dense handstream,14.7,14.68,0.02,0.02
4133253,Love is War(night bunny) x1.15,stamina,dense handstream,12.4,11.95,0.45,0.45
5407219,Love is War(night bunny) x1.33,stamina,dense handstream,14,14.16,-0.16,0.16
4632845,Dimension War(oceanus),stamina,dense handstream,15.4,15.02,0.38,0.38
4758417,KOKUSHIMUSOU(oceanus) x0.95,stamina,dense handstream,15.4,15.84,-0.44,0.44
4758412,KOKUSHIMUSOU(oceanus),stamina,dense handstream,16,16.38,-0.38,0.38
1753421,Quadraphinix(xay) x1.3,stamina,dense handstream,12.4,12.15,0.25,0.25
1753422,Quadraphinix(xay) x1.4,stamina,dense handstream,13.5,13.42,0.08,0.08
5120065,MEGALOMANIA(omni),stamina,dense handstream,14,14.30,-0.30,0.30
2110279,MEGALOMANIA(rachel),stamina,dense handstream,14,14.01,-0.01,0.01
3850572,Perfect Cherry Storm(teradora) x1.45,stamina,dense handstream,14.6,15.03,-0.43,0.43
4786209,Inner Universe(teradora) x1.885,stamina,dense handstream,16.6,16.26,0.34,0.34
5370949,Inner Universe(teradora) x1.755,stamina,dense handstream,15.4,15.31,0.09,0.09
1304131,Chaoz Airflow(icyworld) x1.2,stamina,dense handstream,10.4,9.61,0.79,0.79
4476886,Bluenation(xingyue) x1.2,stamina,dense handstream,11,11.13,-0.13,0.13
4476891,Bluenation(xingyue) x1.4,stamina,dense handstream,13.6,13.20,0.40,0.40
4476908,Bluenation(xingyue) x1.45,stamina,dense handstream,14,13.98,0.02,0.02
3850571,STRONG 280(sp7v2),stamina,dense handstream,14.6,14.85,-0.25,0.25
2292214,Serment(xingyue) x1.3,stamina,dense handstream,13.7,13.88,-0.18,0.18
473228,FREEDOM DIVE(DIMENSIONS),stamina,dense jumpstream,10,11.29,-1.29,1.29
3157010,Fragment(my angel koish) x1.4,stamina,dense jumpstream,13,13.27,-0.27,0.27
1453293,Burst Linker(wafles) x1.3,stamina,dense jumpstream,12.6,12.85,-0.25,0.25
5195395,Burst Linker(wafles) x1.47,stamina,dense jumpstream,14,14.02,-0.02,0.02
1938168,Cyber Inductance(icyworld) x1.3,stamina,dense jumpstream,12,11.97,0.03,0.03
4589562,Cyber Inductance(icyworld) x1.47,stamina,dense jumpstream,14,13.98,0.02,0.02
2196122,Cyber Inductance(icyworld) x1.7,stamina,dense jumpstream,15.4,15.37,0.03,0.03
4310620,Cyber Inductance(icyworld) x1.525,stamina,dense jumpstream,14.4,14.08,0.32,0.32
1699290,Pacific Girls(icyworld) x1.5,stamina,dense jumpstream,15,15.05,-0.05,0.05
3854148,Over the Fullereneshift(fullerene) x1.4,stamina,dense jumpstream,13.8,13.66,0.14,0.14
1425975,Japanese Transformation(fullerene) x1.2,stamina,dense jumpstream,14.5,14.97,-0.47,0.47
787944,The Empress(underjoy) x1.05,stamina,dense jumpstream,14,13.87,0.13,0.13
2701198,Time to Say Goodbye(halogen) x1.15,stamina,dense jumpstream,14,13.87,0.13,0.13
2701200,Time to Say Goodbye(halogen) x1.2,stamina,dense jumpstream,14.4,14.27,0.13,0.13
2633097,Sakazuki(Rachel),jack,high chordjack,12.8,12.69,0.11,0.11
4597208,Sakazuki(Rachel) x1.05,jack,high chordjack,13.4,13.41,-0.01,0.01
3630235,Sakazuki(Rachel) x1.1,jack,high chordjack,14,13.91,0.09,0.09
3630234,Sakazuki(Rachel) x0.9,jack,high chordjack,11.8,10.89,0.91,0.91
3630236,Sakazuki(Rachel) x1.2,jack,high chordjack,14.8,14.87,-0.07,0.07
3630237,Sakazuki(Rachel) x1.3,jack,high chordjack,16,16.05,-0.05,0.05
3663000,Sakazuki(Rachel) x1.35,jack,high chordjack,16.5,16.50,0.00,0.00
3521930,Hiasobi(focogamer) x1.1,jack,high chordjack,12.8,13.02,-0.22,0.22
3521932,Hiasobi(focogamer) x1.2,jack,high chordjack,14,13.99,0.01,0.01
3928116,Joker(Rachel),jack,high chordjack,15.4,15.48,-0.08,0.08
3887322,Dark Sambaland x1.2,jack,high chordjack,13.8,13.79,0.01,0.01
1705687,Flower Dance(hievery) x1.3,jack,high chordjack,10.6,9.86,0.74,0.74
1705688,Flower Dance(hievery) x1.4,jack,high chordjack,12,12.08,-0.08,0.08
2121684,Hitogata(ice v),jack,high chordjack,13.6,13.66,-0.06,0.06
2727203,Hitogata(ice v) x1.05,jack,high chordjack,14.4,14.37,0.03,0.03
4387971,Hitogata(ice v) x1.15,jack,high chordjack,15,15.38,-0.38,0.38
3479384,I Love It(lynessa),jack,high chordjack,10.5,10.65,-0.15,0.15
3479388,I Love It(lynessa) x1.2,jack,high chordjack,14,14.22,-0.22,0.22
2808358,I Love It(lynessa) x1.3,jack,high chordjack,15,14.88,0.12,0.12
4584948,Dat Phonk(smokydoh),jack,high chordjack,13.6,13.48,0.12,0.12
4584946,Dat Phonk(smokydoh) x0.9,jack,high chordjack,12.4,12.41,-0.01,0.01
4072972,Dat Phonk(smokydoh) x1.1,jack,high chordjack,14.8,14.60,0.20,0.20
4072973,Dat Phonk(smokydoh) x1.15,jack,high chordjack,15.1,15.36,-0.26,0.26
3841896,MURDER IN MY MIND x1.2,jack,high chordjack,13,12.73,0.27,0.27
2802345,Hari no Sora(xingyue) x1.2,jack,high chordjack,13.6,13.55,0.05,0.05
5430570,Hari no Sora(xingyue) x1.27,jack,high chordjack,14,13.83,0.17,0.17
3545958,Unmeiron(ena),jack,high chordjack,14.9,15.00,-0.10,0.10
3545959,Unmeiron(ena) x0.95,jack,high chordjack,14.6,14.42,0.18,0.18
2818882,Hustler(xingyue),jack,high chordjack,12.8,12.80,0.00,0.00
3986998,Hustler(xingyue) x1.05,jack,high chordjack,13.4,13.57,-0.17,0.17
3987000,Hustler(xingyue) x1.15,jack,high chordjack,14.6,14.54,0.06,0.06
3986995,Hustler(xingyue) x1.2,jack,high chordjack,15,14.91,0.09,0.09
3986999,Hustler(xingyue) x1.25,jack,high chordjack,15.4,15.37,0.03,0.03
3986997,Hustler(xingyue) x1.3,jack,high chordjack,16,15.89,0.11,0.11
3509184,Seen(ena),jack,high chordjack,13.4,13.65,-0.25,0.25
3509180,Seen(ena) x1.05,jack,high chordjack,14,13.91,0.09,0.09
3509181,Seen(ena) x1.15,jack,high chordjack,15,14.97,0.03,0.03
3509183,Seen(ena) x1.2,jack,high chordjack,15.6,15.72,-0.12,0.12
3662982,Seen(ena) x1.25,jack,high chordjack,16,15.96,0.04,0.04
3576374,Can't Give it Up(jhown),jack,high chordjack,13,13.08,-0.08,0.08
3576378,Can't Give it Up(jhown) x1.2,jack,high chordjack,15,15.08,-0.08,0.08
2357903,Triumphal Return(doudou0310) x1.2,jack,high chordjack,13.7,13.96,-0.26,0.26
2357902,Triumphal Return(doudou0310) x1.25,jack,high chordjack,14.4,14.40,0.00,0.00
2357904,Triumphal Return(doudou0310) x1.3,jack,high chordjack,14.8,14.63,0.17,0.17
3526591,Triumphal Return(doudou0310) x1.4,jack,high chordjack,15.6,15.55,0.05,0.05
3182551,Dusk(mintapril),jack,high chordjack,8,8.75,-0.75,0.75
3182552,Dusk(mintapril) x1.1,jack,high chordjack,11,10.83,0.17,0.17
3182553,Dusk(mintapril) x1.2,jack,high chordjack,12.6,12.58,0.02,0.02
3182554,Dusk(mintapril) x1.3,jack,high chordjack,13.6,13.48,0.12,0.12
4633597,Darling Dance(rachel),jack,high chordjack,14,14.19,-0.19,0.19
4633595,Darling Dance(rachel) x1.1,jack,high chordjack,15,15.14,-0.14,0.14
4633594,Darling Dance(rachel) x1.15,jack,high chordjack,15.4,15.63,-0.23,0.23
4633596,Darling Dance(rachel) x1.2,jack,high chordjack,16.4,16.10,0.30,0.30
4622294,KEEP IT UP(ltd) x1.4,jack,high chordjack,16.6,16.94,-0.34,0.34
2808334,Deconstruction Star(xuecai),jack,high chordjack,13.6,14.00,-0.40,0.40
3412538,Deconstruction Star(xuecai) x1.15,jack,high chordjack,15.6,15.72,-0.12,0.12
4637635,YoiYoi Kokon(lynessa) x1.05,jack,high chordjack,13.6,13.16,0.44,0.44
4408173,GOODTEK(signicial),jack,high chordjack,15.2,14.95,0.25,0.25
2716033,The Light(blue potion),jack,high chordjack,13.6,14.01,-0.41,0.41
2963655,The Light(blue potion) x1.1,jack,high chordjack,15.8,15.10,0.70,0.70
4103082,Idol(laoxiao),jack,high chordjack,14,13.84,0.16,0.16
3687776,Flowering(ena),jack,high chordjack,14,13.37,0.63,0.63
3687774,Flowering(ena) x1.1,jack,high chordjack,14.5,14.59,-0.09,0.09
3687775,Flowering(ena) x1.2,jack,high chordjack,16,15.27,0.73,0.73
4383327,Observation(jhown) x0.8,jack,high chordjack,14,14.19,-0.19,0.19
4383328,Observation(jhown) x0.85,jack,high chordjack,14.6,15.04,-0.44,0.44
4383329,Observation(jhown) x0.9,jack,high chordjack,15.4,15.36,0.04,0.04
4383330,Observation(jhown) x0.95,jack,high chordjack,16,16.29,-0.29,0.29
4383325,Observation(jhown),jack,high chordjack,16.4,16.79,-0.39,0.39
4794368,Rengetsu Outa(jhown),jack,high chordjack,14,13.16,0.84,0.84
4794371,Rengetsu Outa(jhown) x1.05,jack,high chordjack,14.4,13.93,0.47,0.47
4010382,Please(hikarnayo),jack,high chordjack,14.4,14.73,-0.33,0.33
3321435,Lost One no Goukoku(rachel),jack,high chordjack,15,14.77,0.23,0.23
4387962,Break It(ice v),jack,high chordjack,15,14.90,0.10,0.10
1066057,Break(loved),jack,high chordjack,11,11.52,-0.52,0.52
3065264,Break(loved) x1.2,jack,high chordjack,14.4,14.02,0.38,0.38
3065265,Break(loved) x1.3,jack,high chordjack,15,15.02,-0.02,0.02
3095005,Break(loved) x1.4,jack,high chordjack,16,15.96,0.04,0.04
3816043,Bookmaker(rachel),jack,high chordjack,14.3,14.13,0.17,0.17
2862626,Bookmaker(rachel) x1.05,jack,high chordjack,14.6,14.87,-0.27,0.27
2289290,Anhedonia[38](8230),jack,high chordjack,15.2,15.41,-0.21,0.21
3125227,Anhedonia[38](8230) x0.95,jack,high chordjack,14.7,14.90,-0.20,0.20
3125228,Anhedonia[38](8230) x1.05,jack,high chordjack,15.6,16.01,-0.41,0.41
2497871,Sky is the Limit(aeyeong),jack,high chordjack,13,13.03,-0.03,0.03
1990238,Sky is the Limit(aeyeong) x1.1,jack,high chordjack,14.5,14.36,0.14,0.14
4487955,OdoRobo(jinkill) x1.1,jack,high chordjack,14.1,14.00,0.10,0.10
3476974,Don't let you down(rg8v3),jack,high chordjack,7.9,8.45,-0.55,0.55
3476968,Kikai Shoujo Gensou(rg9v3),jack,high chordjack,8.5,9.77,-1.27,1.27
3824604,Hifumi Daisuki[Hard](Magikarp1234),jack,high chordjack,13.6,13.20,0.40,0.40
4010826,Re Aoharu(magikarp),jack,high chordjack,4.8,4.11,0.69,0.69
4388484,hurricanic(stupud man),speed,high stream,14,13.90,0.10,0.10
3171267,hurricanic(stupud man) x1.05,speed,high stream,14.4,14.29,0.11,0.11
4388482,hurricanic(stupud man) x1.1,speed,high stream,15,14.72,0.28,0.28
4388481,hurricanic(stupud man) x1.15,speed,high stream,15.4,14.96,0.44,0.44
4388483,hurricanic(stupud man) x1.2,speed,high stream,16,15.69,0.31,0.31
3358944,Volcanic(attang) x0.8,speed,high stream,11,9.80,1.20,1.20
3358945,Volcanic(attang) x0.9,speed,high stream,12.5,12.44,0.06,0.06
2808935,Volcanic(attang) x1.05,speed,high stream,14.4,14.33,0.07,0.07
3358946,Volcanic(attang) x1.1,speed,high stream,15,15.05,-0.05,0.05
2965239,Volcanic(attang) x1.15,speed,high stream,15.4,15.25,0.15,0.15
3358947,Volcanic(attang) x1.2,speed,high stream,16,15.75,0.25,0.25
3321837,Yozakura(ska) x0.9,speed,high stream,13.6,13.33,0.27,0.27
3321838,Yozakura(ska) x0.95,speed,high stream,14,14.12,-0.12,0.12
3321840,Yozakura(ska),speed,high stream,14.3,14.28,0.02,0.02
3321839,Yozakura(ska) x1.05,speed,high stream,14.6,14.67,-0.07,0.07
1455991,Moon Gate x1.2,speed,high stream,14.6,14.89,-0.29,0.29
5255749,Moon Gate x1.25,speed,high stream,15,14.73,0.27,0.27
5195385,Blue Noah 2006[Lv.28](attang) 0.95,speed,high stream,14,14.09,-0.09,0.09
1496206,Blue Noah 2006[Lv.28](attang),speed,high stream,14.6,14.30,0.30,0.30
1644632,Blue Noah 2006[Lv.28](attang) x1.1,speed,high stream,15.4,15.35,0.05,0.05
1990237,Angel Dust(tachyon) x1.1,speed,high stream,14.4,14.26,0.14,0.14
3294543,Misery(signicial) x1.1,speed,high stream,14,14.23,-0.23,0.23
3294542,Misery(signicial) x1.15,speed,high stream,14.6,14.40,0.20,0.20
3294546,Misery(signicial) x1.2,speed,high stream,15,14.82,0.18,0.18
3294544,Misery(signicial) x1.25,speed,high stream,15.4,15.26,0.14,0.14
3294549,Misery(signicial) x1.3,speed,high stream,16,15.74,0.26,0.26
3294547,Misery(signicial) x1.35,speed,high stream,16.4,16.18,0.22,0.22
2875457,Angel's Salad(penguinosity),tech,jack tech,11,11.06,-0.06,0.06
2860220,Forgotten[Collab(2015)],tech,jack tech,11,10.91,0.09,0.09
2860210,Forgotten[Collab(2015)] x1.05,tech,jack tech,12,11.78,0.22,0.22
2860212,Forgotten[Collab(2015)] x1.1,tech,jack tech,12.4,12.65,-0.25,0.25
3755586,Odoru Mizushibuki x1.2,tech,jack tech,12.6,12.87,-0.27,0.27
3755587,Odoru Mizushibuki x1.3,tech,jack tech,13.6,13.86,-0.26,0.26
3755588,Odoru Mizushibuki x1.4,tech,jack tech,14.6,14.68,-0.08,0.08
3168876,Odoru Mizushibuki x1.43,tech,jack tech,15,14.77,0.23,0.23
3824635,Usagi Flap[Tech](Magikarp1234),tech,jack tech,10.5,10.04,0.46,0.46
4606873,Still Into You(ska) x1.16,tech,jack tech,13.4,13.84,-0.44,0.44
3322182,BLUE ARMY[UNFORGIVING ASSAULT],stamina,light handstream,13.4,13.48,-0.08,0.08
4610329,BLUE ARMY[UNFORGIVING ASSAULT] x1.06,stamina,light handstream,13.8,14.34,-0.54,0.54
3645838,The Empress(underjoy) x1.1,stamina,light handstream,14.6,14.47,0.13,0.13
3645837,The Empress(underjoy) x1.15,stamina,light handstream,15,14.93,0.07,0.07
5194163,Firmament Castle Velier x1.3,stamina,light handstream,14,13.77,0.23,0.23
4589591,Speed of Link[Tachyon](shoegazer) 1.23,stamina,light jumpstream,14,14.12,-0.12,0.12
3348224,FAKE PROMISE(shoegazer) x1.4,stamina,light jumpstream,12.8,12.81,-0.01,0.01
2972845,Gekka Bijin(hylotl),stamina,light jumpstream,14.4,14.11,0.29,0.29
2567896,The Fate of(blessia),stamina,light jumpstream,14,14.05,-0.05,0.05
1887431,Aquaris(snover) x1.2,jack,low chordjack,13,12.88,0.12,0.12
1426702,Double Universe(hydria),jack,low chordjack,14,13.91,0.09,0.09
3476969,Koi Kou Enishi(rg3v3),jack,low chordjack,3.6,3.88,-0.28,0.28
3476970,Umiyuri Kaiteitan(rg4v3),jack,low chordjack,4.1,4.73,-0.63,0.63
3476971,Platinum Disco(rg5v3),jack,low chordjack,5,4.62,0.38,0.38
3476972,Chocolate Disco(rg6v3),jack,low chordjack,5.8,5.93,-0.13,0.13
3928690,Reflec Streamz(gamma) x1.15,speed,low stream,14.6,14.66,-0.06,0.06
3251778,Lalala.Refrain[HD](snowph),speed,low stream,13.8,13.68,0.12,0.12
3251776,Lalala.Refrain[HD](snowph) x1.1,speed,low stream,14.6,14.88,-0.28,0.28
3989159,Luminous Memory(super10killer),speed,low stream,14,14.29,-0.29,0.29
3989154,Luminous Memory(super11killer) x0.9,speed,low stream,13.4,13.05,0.35,0.35
5430556,Gloom(jesen) x1.25,jack,mid chordjack,13.9,13.51,0.39,0.39
1779696,Gloom(jesen) x1.3,jack,mid chordjack,14.4,13.92,0.48,0.48
3211370,The Truth Never Spoken(rachel) x1.05,jack,mid chordjack,13.4,13.06,0.34,0.34
3260898,The Truth Never Spoken(rachel) x1.1,jack,mid chordjack,13.8,13.77,0.03,0.03
2308947,Vertex Beta(spz cut) x0.9,jack,mid chordjack,14.6,14.16,0.44,0.44
3321440,Valkyrie Revolutia(rachel),jack,mid chordjack,16.4,16.04,0.36,0.36
4704824,M-A[impossible jack](wllk2) x0.85,jack,mid chordjack,13.9,13.79,0.11,0.11
5561111,manual of youth(tsumikiyuzu) x1.3,jack,mid chordjack,14,13.95,0.05,0.05
3476973,Don't Stop The Music(rg7v3),jack,mid chordjack,6.7,6.63,0.07,0.07
4262736,oddloop(teradora),speed,mid stream,12.2,12.24,-0.04,0.04
4670616,Toromi Hearts 2(rachel),speed,mid stream,14.6,14.91,-0.31,0.31
3163355,Palette(rachel) x1.2,speed,mid stream,14.6,14.90,-0.30,0.30
1631150,Green-Eyed Jealousy[True End](rachel),speed,mid stream,14.6,15.16,-0.56,0.56
3824601,GGF(magikarp),speed,mid stream,10.9,11.12,-0.22,0.22
4432306,Hyper Bass(11bit) x1.35,tech,mix tech,15,15.25,-0.25,0.25
4237589,KOKUSHIMUSOU(nate) x1.15,tech,mix tech,14.6,14.91,-0.31,0.31
4432307,Looking for Edge of Ground(evening) x1.15,tech,mix tech,14.6,14.86,-0.26,0.26
2162156,We Could Get More Machinegun Psystyle!(hydria),tech,mix tech,13.5,13.39,0.11,0.11
3853701,We Could Get More Machinegun Psystyle!(hydria) x1.05,tech,mix tech,14,14.07,-0.07,0.07
5195211,K.Y.A.F.A[UNSTOPPABLE DOMINATION](evening) x1.227,tech,mix tech,14,13.80,0.20,0.20
1699242,Trickstarz[STEPMANIA](hi19hi19) x1.3,speed,staircase,15,14.40,0.60,0.60
3755273,Green-Eyed Jealousy(e9v2),speed,staircase,17.6,17.23,0.37,0.37
1158910,Shadows of Cats(wafles) x1.0,tech,stream tech,12.2,11.11,1.09,1.09
5195273,Shadows of Cats(wafles) x1.25,tech,stream tech,14,14.16,-0.16,0.16
4776927,Weird Autumn(emik) x1.2,tech,stream tech,14,13.96,0.04,0.04
4776929,Weird Autumn(emik) x1.3,tech,stream tech,14.6,14.80,-0.20,0.20
3053763,oddloop(ska),tech,stream tech,11.6,11.31,0.29,0.29
3942033,oddloop(ska) x1.3,tech,stream tech,15,14.96,0.04,0.04
1712332,northern_limit(underjoy),tech,stream tech,15.6,15.40,0.20,0.20
3494225,Kimiyo[Agapimenoi](frolica),tech,stream tech,14.2,14.00,0.20,0.20
